"cell_id","role","module","action","api_permission_field","database_permission_field","status","owner_question"
"TERMINAL:etiquetas:autorizar","TERMINAL","etiquetas","autorizar","puedeAutorizar","puede_autorizar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"TERMINAL:inventario:crear","TERMINAL","inventario","crear","puedeCrear","puede_crear","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"TERMINAL:inventario:autorizar","TERMINAL","inventario","autorizar","puedeAutorizar","puede_autorizar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"TERMINAL:productos:autorizar","TERMINAL","productos","autorizar","puedeAutorizar","puede_autorizar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"TERMINAL:precios:crear","TERMINAL","precios","crear","puedeCrear","puede_crear","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"TERMINAL:precios:autorizar","TERMINAL","precios","autorizar","puedeAutorizar","puede_autorizar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"TERMINAL:ajustes:ver","TERMINAL","ajustes","ver","puedeVer","puede_ver","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"TERMINAL:ajustes:editar","TERMINAL","ajustes","editar","puedeEditar","puede_editar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"TERMINAL:clientes:autorizar","TERMINAL","clientes","autorizar","puedeAutorizar","puede_autorizar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"TERMINAL:clientes_credito:crear","TERMINAL","clientes_credito","crear","puedeCrear","puede_crear","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"TERMINAL:clientes_credito:autorizar","TERMINAL","clientes_credito","autorizar","puedeAutorizar","puede_autorizar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"TERMINAL:clientes_precios:crear","TERMINAL","clientes_precios","crear","puedeCrear","puede_crear","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"TERMINAL:clientes_precios:editar","TERMINAL","clientes_precios","editar","puedeEditar","puede_editar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"TERMINAL:clientes_precios:autorizar","TERMINAL","clientes_precios","autorizar","puedeAutorizar","puede_autorizar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"TERMINAL:clientes_finanzas:editar","TERMINAL","clientes_finanzas","editar","puedeEditar","puede_editar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"TERMINAL:caja_abonos:ver","TERMINAL","caja_abonos","ver","puedeVer","puede_ver","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"TERMINAL:caja_abonos:editar","TERMINAL","caja_abonos","editar","puedeEditar","puede_editar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"TERMINAL:caja_abonos:autorizar","TERMINAL","caja_abonos","autorizar","puedeAutorizar","puede_autorizar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"TERMINAL:clientes_recapturas:ver","TERMINAL","clientes_recapturas","ver","puedeVer","puede_ver","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"TERMINAL:clientes_recapturas:editar","TERMINAL","clientes_recapturas","editar","puedeEditar","puede_editar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"TERMINAL:clientes_recapturas:autorizar","TERMINAL","clientes_recapturas","autorizar","puedeAutorizar","puede_autorizar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"TERMINAL:proveedores:autorizar","TERMINAL","proveedores","autorizar","puedeAutorizar","puede_autorizar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"TERMINAL:proveedores_finanzas:editar","TERMINAL","proveedores_finanzas","editar","puedeEditar","puede_editar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"TERMINAL:ubicaciones:autorizar","TERMINAL","ubicaciones","autorizar","puedeAutorizar","puede_autorizar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"TERMINAL:usuarios:autorizar","TERMINAL","usuarios","autorizar","puedeAutorizar","puede_autorizar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"TERMINAL:permisos:crear","TERMINAL","permisos","crear","puedeCrear","puede_crear","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"TERMINAL:permisos:autorizar","TERMINAL","permisos","autorizar","puedeAutorizar","puede_autorizar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"TERMINAL:resumen_caja:crear","TERMINAL","resumen_caja","crear","puedeCrear","puede_crear","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"TERMINAL:resumen_caja:editar","TERMINAL","resumen_caja","editar","puedeEditar","puede_editar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"TERMINAL:resumen_caja:autorizar","TERMINAL","resumen_caja","autorizar","puedeAutorizar","puede_autorizar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"TERMINAL:cortes:editar","TERMINAL","cortes","editar","puedeEditar","puede_editar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"TERMINAL:cortes:autorizar","TERMINAL","cortes","autorizar","puedeAutorizar","puede_autorizar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"TERMINAL:cobros_pagos:editar","TERMINAL","cobros_pagos","editar","puedeEditar","puede_editar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"TERMINAL:cobros_pagos:autorizar","TERMINAL","cobros_pagos","autorizar","puedeAutorizar","puede_autorizar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"TERMINAL:reportes:crear","TERMINAL","reportes","crear","puedeCrear","puede_crear","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"TERMINAL:reportes:editar","TERMINAL","reportes","editar","puedeEditar","puede_editar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"TERMINAL:reportes:autorizar","TERMINAL","reportes","autorizar","puedeAutorizar","puede_autorizar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"TERMINAL:conciliacion:crear","TERMINAL","conciliacion","crear","puedeCrear","puede_crear","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"TERMINAL:conciliacion:editar","TERMINAL","conciliacion","editar","puedeEditar","puede_editar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"TERMINAL:auditoria:crear","TERMINAL","auditoria","crear","puedeCrear","puede_crear","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"TERMINAL:auditoria:editar","TERMINAL","auditoria","editar","puedeEditar","puede_editar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"TERMINAL:auditoria:autorizar","TERMINAL","auditoria","autorizar","puedeAutorizar","puede_autorizar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"TERMINAL:camionetas:autorizar","TERMINAL","camionetas","autorizar","puedeAutorizar","puede_autorizar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"TERMINAL:choferes:autorizar","TERMINAL","choferes","autorizar","puedeAutorizar","puede_autorizar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"TERMINAL:viajes:editar","TERMINAL","viajes","editar","puedeEditar","puede_editar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"TERMINAL:viajes:autorizar","TERMINAL","viajes","autorizar","puedeAutorizar","puede_autorizar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"TERMINAL:salidas_venta:editar","TERMINAL","salidas_venta","editar","puedeEditar","puede_editar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"TERMINAL:salidas_venta:autorizar","TERMINAL","salidas_venta","autorizar","puedeAutorizar","puede_autorizar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"TERMINAL:equipos:autorizar","TERMINAL","equipos","autorizar","puedeAutorizar","puede_autorizar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"CAJA:marcar_remate:ver","CAJA","marcar_remate","ver","puedeVer","puede_ver","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"CAJA:marcar_remate:crear","CAJA","marcar_remate","crear","puedeCrear","puede_crear","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"CAJA:marcar_remate:editar","CAJA","marcar_remate","editar","puedeEditar","puede_editar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"CAJA:dashboard:crear","CAJA","dashboard","crear","puedeCrear","puede_crear","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"CAJA:dashboard:editar","CAJA","dashboard","editar","puedeEditar","puede_editar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"CAJA:dashboard:autorizar","CAJA","dashboard","autorizar","puedeAutorizar","puede_autorizar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"CAJA:pos:editar","CAJA","pos","editar","puedeEditar","puede_editar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"CAJA:pos:autorizar","CAJA","pos","autorizar","puedeAutorizar","puede_autorizar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"CAJA:entradas:autorizar","CAJA","entradas","autorizar","puedeAutorizar","puede_autorizar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"CAJA:movimientos:crear","CAJA","movimientos","crear","puedeCrear","puede_crear","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"CAJA:movimientos:editar","CAJA","movimientos","editar","puedeEditar","puede_editar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"CAJA:movimientos:autorizar","CAJA","movimientos","autorizar","puedeAutorizar","puede_autorizar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"CAJA:etiquetas:autorizar","CAJA","etiquetas","autorizar","puedeAutorizar","puede_autorizar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"CAJA:inventario:crear","CAJA","inventario","crear","puedeCrear","puede_crear","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"CAJA:inventario:autorizar","CAJA","inventario","autorizar","puedeAutorizar","puede_autorizar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"CAJA:productos:autorizar","CAJA","productos","autorizar","puedeAutorizar","puede_autorizar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"CAJA:precios:crear","CAJA","precios","crear","puedeCrear","puede_crear","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"CAJA:precios:autorizar","CAJA","precios","autorizar","puedeAutorizar","puede_autorizar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"CAJA:ajustes:ver","CAJA","ajustes","ver","puedeVer","puede_ver","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"CAJA:ajustes:editar","CAJA","ajustes","editar","puedeEditar","puede_editar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"CAJA:clientes:autorizar","CAJA","clientes","autorizar","puedeAutorizar","puede_autorizar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"CAJA:clientes_credito:crear","CAJA","clientes_credito","crear","puedeCrear","puede_crear","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"CAJA:clientes_credito:autorizar","CAJA","clientes_credito","autorizar","puedeAutorizar","puede_autorizar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"CAJA:clientes_precios:crear","CAJA","clientes_precios","crear","puedeCrear","puede_crear","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"CAJA:clientes_precios:editar","CAJA","clientes_precios","editar","puedeEditar","puede_editar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"CAJA:clientes_precios:autorizar","CAJA","clientes_precios","autorizar","puedeAutorizar","puede_autorizar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"CAJA:clientes_finanzas:editar","CAJA","clientes_finanzas","editar","puedeEditar","puede_editar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"CAJA:caja_abonos:ver","CAJA","caja_abonos","ver","puedeVer","puede_ver","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"CAJA:caja_abonos:editar","CAJA","caja_abonos","editar","puedeEditar","puede_editar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"CAJA:caja_abonos:autorizar","CAJA","caja_abonos","autorizar","puedeAutorizar","puede_autorizar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"CAJA:clientes_recapturas:ver","CAJA","clientes_recapturas","ver","puedeVer","puede_ver","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"CAJA:clientes_recapturas:editar","CAJA","clientes_recapturas","editar","puedeEditar","puede_editar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"CAJA:clientes_recapturas:autorizar","CAJA","clientes_recapturas","autorizar","puedeAutorizar","puede_autorizar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"CAJA:proveedores:autorizar","CAJA","proveedores","autorizar","puedeAutorizar","puede_autorizar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"CAJA:proveedores_finanzas:editar","CAJA","proveedores_finanzas","editar","puedeEditar","puede_editar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"CAJA:ubicaciones:autorizar","CAJA","ubicaciones","autorizar","puedeAutorizar","puede_autorizar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"CAJA:usuarios:autorizar","CAJA","usuarios","autorizar","puedeAutorizar","puede_autorizar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"CAJA:permisos:crear","CAJA","permisos","crear","puedeCrear","puede_crear","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"CAJA:permisos:autorizar","CAJA","permisos","autorizar","puedeAutorizar","puede_autorizar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"CAJA:resumen_caja:crear","CAJA","resumen_caja","crear","puedeCrear","puede_crear","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"CAJA:resumen_caja:editar","CAJA","resumen_caja","editar","puedeEditar","puede_editar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"CAJA:resumen_caja:autorizar","CAJA","resumen_caja","autorizar","puedeAutorizar","puede_autorizar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"CAJA:cortes:editar","CAJA","cortes","editar","puedeEditar","puede_editar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"CAJA:cortes:autorizar","CAJA","cortes","autorizar","puedeAutorizar","puede_autorizar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"CAJA:cobros_pagos:editar","CAJA","cobros_pagos","editar","puedeEditar","puede_editar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"CAJA:cobros_pagos:autorizar","CAJA","cobros_pagos","autorizar","puedeAutorizar","puede_autorizar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"CAJA:reportes:crear","CAJA","reportes","crear","puedeCrear","puede_crear","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"CAJA:reportes:editar","CAJA","reportes","editar","puedeEditar","puede_editar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"CAJA:reportes:autorizar","CAJA","reportes","autorizar","puedeAutorizar","puede_autorizar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"CAJA:conciliacion:crear","CAJA","conciliacion","crear","puedeCrear","puede_crear","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"CAJA:conciliacion:editar","CAJA","conciliacion","editar","puedeEditar","puede_editar","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
"CAJA:auditoria:crear","CAJA","auditoria","crear","puedeCrear","puede_crear","OWNER_SEMANTICS_REQUIRED","¿Qué operación consume este campo para este rol? Indique ruta/método, control UI y estado elegible; o confirme explícitamente que no tiene consumidor."
