"cell_id","role","module","action","permission_api_field","question_for_owner"
"TERMINAL:ajustes:editar","TERMINAL","ajustes","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"TERMINAL:clientes:autorizar","TERMINAL","clientes","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"TERMINAL:clientes_credito:crear","TERMINAL","clientes_credito","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"TERMINAL:clientes_credito:autorizar","TERMINAL","clientes_credito","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"TERMINAL:clientes_precios:crear","TERMINAL","clientes_precios","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"TERMINAL:clientes_precios:editar","TERMINAL","clientes_precios","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"TERMINAL:clientes_precios:autorizar","TERMINAL","clientes_precios","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"TERMINAL:clientes_finanzas:editar","TERMINAL","clientes_finanzas","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"TERMINAL:caja_abonos:ver","TERMINAL","caja_abonos","ver","puedeVer","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"TERMINAL:caja_abonos:editar","TERMINAL","caja_abonos","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"TERMINAL:caja_abonos:autorizar","TERMINAL","caja_abonos","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"TERMINAL:clientes_recapturas:ver","TERMINAL","clientes_recapturas","ver","puedeVer","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"TERMINAL:clientes_recapturas:editar","TERMINAL","clientes_recapturas","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"TERMINAL:clientes_recapturas:autorizar","TERMINAL","clientes_recapturas","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"TERMINAL:proveedores:autorizar","TERMINAL","proveedores","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"TERMINAL:proveedores_finanzas:editar","TERMINAL","proveedores_finanzas","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"TERMINAL:ubicaciones:autorizar","TERMINAL","ubicaciones","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"TERMINAL:usuarios:autorizar","TERMINAL","usuarios","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"TERMINAL:permisos:crear","TERMINAL","permisos","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"TERMINAL:permisos:autorizar","TERMINAL","permisos","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"TERMINAL:resumen_caja:crear","TERMINAL","resumen_caja","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"TERMINAL:resumen_caja:editar","TERMINAL","resumen_caja","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"TERMINAL:resumen_caja:autorizar","TERMINAL","resumen_caja","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"TERMINAL:cortes:editar","TERMINAL","cortes","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"TERMINAL:cortes:autorizar","TERMINAL","cortes","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"TERMINAL:cobros_pagos:editar","TERMINAL","cobros_pagos","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"TERMINAL:cobros_pagos:autorizar","TERMINAL","cobros_pagos","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"TERMINAL:reportes:crear","TERMINAL","reportes","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"TERMINAL:reportes:editar","TERMINAL","reportes","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"TERMINAL:reportes:autorizar","TERMINAL","reportes","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"TERMINAL:conciliacion:crear","TERMINAL","conciliacion","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"TERMINAL:conciliacion:editar","TERMINAL","conciliacion","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"TERMINAL:auditoria:crear","TERMINAL","auditoria","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"TERMINAL:auditoria:editar","TERMINAL","auditoria","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"TERMINAL:auditoria:autorizar","TERMINAL","auditoria","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"TERMINAL:camionetas:autorizar","TERMINAL","camionetas","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"TERMINAL:choferes:autorizar","TERMINAL","choferes","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"TERMINAL:viajes:editar","TERMINAL","viajes","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"TERMINAL:viajes:autorizar","TERMINAL","viajes","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"TERMINAL:salidas_venta:editar","TERMINAL","salidas_venta","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"TERMINAL:salidas_venta:autorizar","TERMINAL","salidas_venta","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"TERMINAL:equipos:autorizar","TERMINAL","equipos","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CAJA:marcar_remate:ver","CAJA","marcar_remate","ver","puedeVer","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CAJA:marcar_remate:crear","CAJA","marcar_remate","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CAJA:marcar_remate:editar","CAJA","marcar_remate","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CAJA:dashboard:crear","CAJA","dashboard","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CAJA:dashboard:editar","CAJA","dashboard","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CAJA:dashboard:autorizar","CAJA","dashboard","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CAJA:pos:editar","CAJA","pos","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CAJA:pos:autorizar","CAJA","pos","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CAJA:entradas:autorizar","CAJA","entradas","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CAJA:movimientos:crear","CAJA","movimientos","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CAJA:movimientos:editar","CAJA","movimientos","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CAJA:movimientos:autorizar","CAJA","movimientos","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CAJA:etiquetas:autorizar","CAJA","etiquetas","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CAJA:inventario:crear","CAJA","inventario","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CAJA:inventario:autorizar","CAJA","inventario","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CAJA:productos:autorizar","CAJA","productos","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CAJA:precios:crear","CAJA","precios","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CAJA:precios:autorizar","CAJA","precios","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CAJA:ajustes:ver","CAJA","ajustes","ver","puedeVer","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CAJA:ajustes:editar","CAJA","ajustes","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CAJA:clientes:autorizar","CAJA","clientes","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CAJA:clientes_credito:crear","CAJA","clientes_credito","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CAJA:clientes_credito:autorizar","CAJA","clientes_credito","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CAJA:clientes_precios:crear","CAJA","clientes_precios","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CAJA:clientes_precios:editar","CAJA","clientes_precios","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CAJA:clientes_precios:autorizar","CAJA","clientes_precios","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CAJA:clientes_finanzas:editar","CAJA","clientes_finanzas","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CAJA:caja_abonos:ver","CAJA","caja_abonos","ver","puedeVer","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CAJA:caja_abonos:editar","CAJA","caja_abonos","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CAJA:caja_abonos:autorizar","CAJA","caja_abonos","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CAJA:clientes_recapturas:ver","CAJA","clientes_recapturas","ver","puedeVer","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CAJA:clientes_recapturas:editar","CAJA","clientes_recapturas","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CAJA:clientes_recapturas:autorizar","CAJA","clientes_recapturas","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CAJA:proveedores:autorizar","CAJA","proveedores","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CAJA:proveedores_finanzas:editar","CAJA","proveedores_finanzas","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CAJA:ubicaciones:autorizar","CAJA","ubicaciones","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CAJA:usuarios:autorizar","CAJA","usuarios","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CAJA:permisos:crear","CAJA","permisos","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CAJA:permisos:autorizar","CAJA","permisos","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CAJA:resumen_caja:crear","CAJA","resumen_caja","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CAJA:resumen_caja:editar","CAJA","resumen_caja","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CAJA:resumen_caja:autorizar","CAJA","resumen_caja","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CAJA:cortes:editar","CAJA","cortes","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CAJA:cortes:autorizar","CAJA","cortes","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CAJA:cobros_pagos:editar","CAJA","cobros_pagos","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CAJA:cobros_pagos:autorizar","CAJA","cobros_pagos","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CAJA:reportes:crear","CAJA","reportes","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CAJA:reportes:editar","CAJA","reportes","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CAJA:reportes:autorizar","CAJA","reportes","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CAJA:conciliacion:crear","CAJA","conciliacion","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CAJA:conciliacion:editar","CAJA","conciliacion","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CAJA:auditoria:crear","CAJA","auditoria","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CAJA:auditoria:editar","CAJA","auditoria","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CAJA:auditoria:autorizar","CAJA","auditoria","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CAJA:camionetas:autorizar","CAJA","camionetas","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CAJA:choferes:autorizar","CAJA","choferes","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CAJA:viajes:editar","CAJA","viajes","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CAJA:viajes:autorizar","CAJA","viajes","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CAJA:salidas_venta:editar","CAJA","salidas_venta","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CAJA:salidas_venta:autorizar","CAJA","salidas_venta","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"CAJA:equipos:autorizar","CAJA","equipos","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SUPERVISOR:marcar_remate:ver","SUPERVISOR","marcar_remate","ver","puedeVer","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SUPERVISOR:marcar_remate:crear","SUPERVISOR","marcar_remate","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SUPERVISOR:marcar_remate:editar","SUPERVISOR","marcar_remate","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SUPERVISOR:dashboard:crear","SUPERVISOR","dashboard","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SUPERVISOR:dashboard:editar","SUPERVISOR","dashboard","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SUPERVISOR:dashboard:autorizar","SUPERVISOR","dashboard","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SUPERVISOR:pos:editar","SUPERVISOR","pos","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SUPERVISOR:pos:autorizar","SUPERVISOR","pos","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SUPERVISOR:entradas:autorizar","SUPERVISOR","entradas","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SUPERVISOR:movimientos:crear","SUPERVISOR","movimientos","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SUPERVISOR:movimientos:editar","SUPERVISOR","movimientos","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SUPERVISOR:movimientos:autorizar","SUPERVISOR","movimientos","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SUPERVISOR:etiquetas:autorizar","SUPERVISOR","etiquetas","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SUPERVISOR:inventario:crear","SUPERVISOR","inventario","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SUPERVISOR:inventario:autorizar","SUPERVISOR","inventario","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SUPERVISOR:productos:autorizar","SUPERVISOR","productos","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SUPERVISOR:precios:crear","SUPERVISOR","precios","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SUPERVISOR:precios:autorizar","SUPERVISOR","precios","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SUPERVISOR:ajustes:editar","SUPERVISOR","ajustes","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SUPERVISOR:clientes:autorizar","SUPERVISOR","clientes","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SUPERVISOR:clientes_credito:crear","SUPERVISOR","clientes_credito","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SUPERVISOR:clientes_credito:autorizar","SUPERVISOR","clientes_credito","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SUPERVISOR:clientes_precios:crear","SUPERVISOR","clientes_precios","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SUPERVISOR:clientes_precios:editar","SUPERVISOR","clientes_precios","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SUPERVISOR:clientes_precios:autorizar","SUPERVISOR","clientes_precios","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SUPERVISOR:clientes_finanzas:editar","SUPERVISOR","clientes_finanzas","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SUPERVISOR:caja_abonos:ver","SUPERVISOR","caja_abonos","ver","puedeVer","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SUPERVISOR:caja_abonos:editar","SUPERVISOR","caja_abonos","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SUPERVISOR:caja_abonos:autorizar","SUPERVISOR","caja_abonos","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SUPERVISOR:clientes_recapturas:ver","SUPERVISOR","clientes_recapturas","ver","puedeVer","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SUPERVISOR:clientes_recapturas:editar","SUPERVISOR","clientes_recapturas","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SUPERVISOR:clientes_recapturas:autorizar","SUPERVISOR","clientes_recapturas","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SUPERVISOR:proveedores:autorizar","SUPERVISOR","proveedores","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SUPERVISOR:proveedores_finanzas:editar","SUPERVISOR","proveedores_finanzas","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SUPERVISOR:ubicaciones:autorizar","SUPERVISOR","ubicaciones","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SUPERVISOR:usuarios:autorizar","SUPERVISOR","usuarios","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SUPERVISOR:permisos:crear","SUPERVISOR","permisos","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SUPERVISOR:permisos:autorizar","SUPERVISOR","permisos","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SUPERVISOR:resumen_caja:crear","SUPERVISOR","resumen_caja","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SUPERVISOR:resumen_caja:editar","SUPERVISOR","resumen_caja","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SUPERVISOR:resumen_caja:autorizar","SUPERVISOR","resumen_caja","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SUPERVISOR:cortes:editar","SUPERVISOR","cortes","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SUPERVISOR:cortes:autorizar","SUPERVISOR","cortes","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SUPERVISOR:cobros_pagos:editar","SUPERVISOR","cobros_pagos","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SUPERVISOR:cobros_pagos:autorizar","SUPERVISOR","cobros_pagos","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SUPERVISOR:reportes:crear","SUPERVISOR","reportes","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SUPERVISOR:reportes:editar","SUPERVISOR","reportes","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SUPERVISOR:reportes:autorizar","SUPERVISOR","reportes","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SUPERVISOR:conciliacion:crear","SUPERVISOR","conciliacion","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SUPERVISOR:conciliacion:editar","SUPERVISOR","conciliacion","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SUPERVISOR:auditoria:crear","SUPERVISOR","auditoria","crear","puedeCrear","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SUPERVISOR:auditoria:editar","SUPERVISOR","auditoria","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SUPERVISOR:auditoria:autorizar","SUPERVISOR","auditoria","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SUPERVISOR:camionetas:autorizar","SUPERVISOR","camionetas","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SUPERVISOR:choferes:autorizar","SUPERVISOR","choferes","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SUPERVISOR:viajes:editar","SUPERVISOR","viajes","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SUPERVISOR:viajes:autorizar","SUPERVISOR","viajes","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SUPERVISOR:salidas_venta:editar","SUPERVISOR","salidas_venta","editar","puedeEditar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
"SUPERVISOR:salidas_venta:autorizar","SUPERVISOR","salidas_venta","autorizar","puedeAutorizar","¿Qué método/ruta y botón real consumen este campo, o confirma que no tiene operación?"
